حرية استقلال
مظاهرات احتجاجات
ثورة تغيير
حقوق مطالب
قمع تضييق
اضطهاد تهميش
فساد تلاعب
استبداد حكم فردي
نظام سلطة
احتلال سيطرة
عقوبات إجراءات
عنف توتر
عدالة مساواة
إعلام تقارير
دولة بلد
جمهورية أمة
حكومة إدارة
انتخابات اختيار
معارضة انتقاد
تحالف اتفاق
دعم مساندة
حظر تقييد
حرب نزاع
سلام تهدئة
سيادة حكم
استقلال انفصال
احتجاجات مظاهرات
حصار تضييق
شعب مجتمع
استبداد تسلط
انقلاب تغيير
مجلس هيئة
جيش قوات
سلاح أدوات
إرهاب تخويف
مقاومة رفض
شرعية قانونية
خسائر أضرار
انتفاضة مقاومة
جنود أفراد
مدنيين مواطنين
تسليح تجهيز
تجنيد ضم
متمردين معارضين
معركة مواجهة
دعاية ترويج
تمويل دعم مالي
انتصار نجاح
هزيمة خسارة
شرطة أمن
اعتقال توقيف
معاملة تصرف
سجن حبس
تعذيب إيذاء
اغتيال قتل
حماية دفاع
عدو خصم
قصف ضرب
تفجير انفجار
انفجار تفجير
خيانة غدر
خطر تهديد
دمار خراب
فوضى اضطراب
نهب سرقة
تحقيق استفسار
معركة صراع
تهديد وعيد
خسارة هزيمة
قتل تصفية
حملة مسعى
مظلوم متضرر
مسجون محبوس
منظمة هيئة
مخيم معسكر
لاجئين نازحين
معارضة منافسة
إصلاح ترميم
أزمة مشكلة
تمرد عصيان
هيمنة سيطرة
اختطاف خطف
مفاوضات محادثات
لاجئون نازحون
جنود عسكريون
ضحية متضرر
هدف مقصد
طائرات مركبات جوية
قائد زعيم
سياسي مسؤول
هجوم اعتداء
مدنيين مواطنين
مواجهات صدامات
مراقبة متابعة
معابر منافذ
مسلحين مقاتلين
عمليات تحركات
خسائر تلفيات
مفاوضات حوار
حصار إغلاق
انسحاب تراجع
اقتحام دخول
هروب فرار
اعتداء هجوم
مخبرين مرشدين
مهربين ناقلين
تفتيش مراقبة
اشتباكات صراعات
تنظيمات مجموعات
انتخابات تصويت
هيمنة سيطرة
تهجير نزوح
تشريد طرد
معاملة تعامل
انتقام ثأر
معركة نزاع
اقتحام غزو
احتلال سيطرة
إعلام نشرات
تواصل اتصال
أمن سلامة
خطة استراتيجية
قيادة توجيه
سلطة حكم
منصب موقع
تدخل دخول
إقصاء استبعاد
إقصاء إزالة
تعليم توعية
وعي إدراك
مشروع خطة
تصعيد زيادة
تأزيم تعقيد
استراتيجية خطة
مساهمة مشاركة
انتقال تحول
اعتراض رفض
مساندة دعم
نزاع صراع
جدال نقاش
مباحثات نقاشات
نتائج مخرجات
إعلام تقارير
شهادات وثائق
تقارير ملخصات
تحالفات تجمعات
مكاسب أرباح
خسائر أضرار
مواقف قرارات
تحذيرات إنذارات
اجتماعات لقاءات
بيانات إعلانات
